title;code;description;imageUrl;dimensions;otherExpectations;upcCode;Sears FOB;WRT FOB;Standard FOB
Cedar Grove;SM065C037G0559P;;;heigh: 6,5 x Girt: 37;559;SM065C037G0559P;$45,50;$50,50;$53,78
Cedar Grove;SM075C042G0931P;;;heigh: 7,5 x Girt: 42;931;SM075C042G0931P;;;
Cedar Grove;SM090C051G1771P;;;heigh: 9 x Girt: 51;1771;SM090C051G1771P;;;
Winter’s Embrace;WR065W042E0800P;;;heigh: 6,5 x Girt: 42;800;WR065W042E0800P;$38,04;$38,36;$39,43
Winter’s Embrace;WR075W048E0000P;;;heigh: 7,5 x Girt: 48;;WR075W048E0000P;;;
Winter’s Embrace;WR090W058E0000P;;;heigh: 9 x Girt: 58;;WR090W058E0000P;;;
Frosted Grace;SM065F052G0000P;;;heigh: 6,5 x Girt: 52;;SM065F052G0000P;;;
Frosted Grace;SM075F060G1310P;;;heigh: 7,5 x Girt: 60;1310;SM075F060G1310P;$66,82;$69,30;$72,03
Frosted Grace;SM090F072G2118P;;;heigh: 9 x Girt: 72;2118;SM090F072G2118P;;;
Aurora Glow;SM065A043G0742P;;;heigh: 6,5 x Girt: 43;742;SM065A043G0742P;;;
Aurora Glow;SM075A050G1336P;;;heigh: 7,5 x Girt: 50;1336;SM075A050G1336P;$69,98;$73,22;$91,50
Aurora Glow;SM090A060G1866P;;;heigh: 9 x Girt: 60;1866;SM090A060G1866P;;;
Forest Jewel;SM065F043J0952P;;;heigh: 6,5 x Girt: 43;952;SM065F043J0952P;;;
Forest Jewel;SM075F050J1336P;;;heigh: 7,5 x Girt: 50;1336;SM075F050J1336P;$57,83;$59,93;$62,97
Forest Jewel;SM090F060J1866P;;;heigh: 9 x Girt: 60;1866;SM090F060J1866P;;;
Woodland Whisper;SM065W052W0952P;;;heigh: 6,5 x Girt: 52;952;SM065W052W0952P;;;
Woodland Whisper;SM075W060W1862P;;;heigh: 7,5 x Girt: 60;1862;SM075W060W1862P;$84,75;$87,24;$88,23
Woodland Whisper;SM090W072W2468P;;;heigh: 9 x Girt: 72;2468;SM090W072W2468P;;;
Pine Valley;SM065P046V1318P;;;heigh: 6,5 x Girt: 46;1318;SM065P046V1318P;;;
Pine Valley;SM075P054V2197P;;;heigh: 7,5 x Girt: 54;2197;SM075P054V2197P;$84,64;$90,28;$94,97
Pine Valley;SM090P064V3607P;;;heigh: 9 x Girt: 64;3607;SM090P064V3607P;;;
Silverwood Fir;SM060S033F1303P;;;heigh: 6 x Girt: 33;1303;SM060S033F1303P;;;
Silverwood Fir;SM070S039F1947P;;;heigh: 7 x Girt: 39;1947;SM070S039F1947P;;;
Silverwood Fir;SM080S045F1283P;;;heigh: 8 x Girt: 45;1283;SM080S045F1283P;$71,39;$75,91;$80,10
Snowflake Symphony;SM065S046S0511P;;;heigh: 6,5 x Girt: 46;511;SM065S046S0511P;;;
Snowflake Symphony;SM075S054S0987P;;;heigh: 7,5 x Girt: 54;987;SM075S054S0987P;;;
Snowflake Symphony;SM090S065S2325P;;;heigh: 9 x Girt: 65;2325;SM090S065S2325P;$131,44;$138,47;$145,04
Alpine Charm;SM065A036C0853P;;;heigh: 6,5 x Girt: 36;853;SM065A036C0853P;;;
Alpine Charm;SM075A041C1415P;;;heigh: 7,5 x Girt: 41;1415;SM075A041C1415P;;;
Alpine Charm;SM090A050C3181P;;;heigh: 9 x Girt: 50;3181;SM090A050C3181P;$132,39;$138,96;$145,23
Laurel Hill;SM120L076H3761P;;;heigh: 12 x Girt: 76;3761;SM120L076H3761P;$175,01;$198,46;$199,86
Alpine Whisper;WR065A042W0800U;;;heigh: 6,5 x Girt: 42;800;WR065A042W0800U;$22,92;$22,99;$23,60
Evergreen Summit;WR040E025S0000U;;;heigh: 4 x Girt: 25;;WR040E025S0000U;;;
Evergreen Summit;WR050E035S0320U;;;heigh: 5 x Girt: 35;320;WR050E035S0320U;$6,65;$6,27;$6,65
Evergreen Summit;WR060E038S0392U;;;heigh: 6 x Girt: 38;392;WR060E038S0392U;;;
Valley Evergreen;WM052V029E0360U;;;heigh: 5,2 x Girt: 29;360;WM052V029E0360U;$6,65;$6,27;$6,65
Valley Evergreen;WM065V035E0552U;;;heigh: 6,5 x Girt: 35;552;WM065V035E0552U;;;
Valley Evergreen;WM075V040E0800U;;;heigh: 7,5 x Girt: 40;800;WM075V040E0800U;;;
Winter Pearl;WM052W037P0380U;;;heigh: 5,2 x Girt: 37;380;WM052W037P0380U;$9,87;$9,87;$10,08
Winter Pearl;WM065W046P0560U;;;heigh: 6,5 x Girt: 46;560;WM065W046P0560U;;;
Winter Pearl;WM075W053P0800U;;;heigh: 7,5 x Girt: 53;800;WM075W053P0800U;;;
Noble Glen;WM052N037G0390U;;;heigh: 5,2 x Girt: 37;390;WM052N037G0390U;$7,65;$7,23;$7,68
Noble Glen;WM065N046G0560U;;;heigh: 6,5 x Girt: 46;560;WM065N046G0560U;;;
Noble Glen;WM075N053G0800U;;;heigh: 7,5 x Girt: 53;800;WM075N053G0800U;;;
Green Haven;WR062G034H0520U;;;heigh: 6,2 x Girt: 34;520;WR062G034H0520U;$10,54;$9,96;$10,58
Green Haven;WR070G037H0688U;;;heigh: 7 x Girt: 37;688;WR070G037H0688U;;;
Green Haven;WR080G042H0900U;;;heigh: 8 x Girt: 42;900;WR080G042H0900U;;;
Majestic Pine;WR060M036P0742U;;;heigh: 6 x Girt: 36;742;WR060M036P0742U;$18,28;$17,70;$18,56
Majestic Pine;WR070M042P0880U;;;heigh: 7 x Girt: 42;880;WR070M042P0880U;;;
Majestic Pine;WR080M048P1300U;;;heigh: 8 x Girt: 48;1300;WR080M048P1300U;;;
